comment,label
Aai haai teri kheeto me struggle 💦💦,2
Jungle mein mangal 🤣🤣🤣,3
Chaddi wali simran 😂,2
#Struggle in the Farms 😂,2
struggling bhut kiya h apne mam 😂😂,2
struggle karna pad ra hoga waha par,2
Ab khet me hal chlega 😂😂,3
Jungle me struggle 😂,3
Maidam app lota bhul gai 💧💧😔😳😳,3
I love your back randi Kamini ananya,3
Lota leke gayi ho toh didi?💩,3
Khet me struggle @ananyapanday,2
Itni bewakoof kyu ho?,3
Didi apka chappal bhi apke struggle se bda hai😌😌😌😌,3
Dad's princess 😂kaha gy thi😂,2
Kaha kaha struggle karti rehti ho didi aap 😂,3
Vo sarso ka khet tha. Ye ghass hai. Mat palto.,2
Struggling for tatti,3
Kaas pathar pn firun ye mg ata,2
Ddlj ya phir “ खेतो में !!” moment?,2
Khetoo mai bhi mam struggle karti hai,2
Yahi se iska struggle shuru hua tha,3
KhAt khet aur lugaai,2
Bandh karo bandh karo khule me hagana bandh karo 😂😂😂,3
Kiske sath ja rhi ho andar......,3
Main  soch raha ta ke  siraf hum Pakistani  hai ju ek bat ke pechay lag jaye tu lagy rahte hai but India ke log tub tub Sara mod kharb Kar deya Yar  bas be Kar doo Yar,3
Apka village h kiya,2
Me ap ke struggle se roz motivate hota hoon 🤣🤣🤣🤣🤣😂😂,2
Uu khet me kutta latrin kia tha,3
Khet me ghapaghap krne me bhot struggle h bhai,3
Ganne ke Khet mein diya tere haat mein,3
choori khaitan ny pasnd kary ha😎,3
Jungle me mangal,3
Ghar mein bathroom nahi hai kya jo khett chali,3
bechari struggler kheti karna par raha hai,2
Annu where is ur lota. ..😂😂,3
Is chutiya ladki k caption bhi isi ki tarah chutiya h @ananyapanday 😂😂,3
Mast jagah he karwalo,3
Arrey lota kidhar hai?😜,3
gaon ki ladki kheto me struggle karte hue😂,3
Khule mai soch rahi ho. Wah..,2
Hagne gai ho khet me lota lana bhul gai ho kiya?,3
Jab bhi koi bolta hai ki humne Sabse Jada struggle Kiya h to main unhe ye photo dikha deta hu,2
Kheton me bhi struggle,2
Ab jhadiyo m struggle hoga😆😆,3
Khet me hagna band karo,3
jhony bhaiya aa rhe h piche..bhaag,3
Awaara madrchodd,3
Randi saali,3
Struggle kr rhi hai kya,2
Ganne ke khet mei palat bhi jayega to kuch na dikhega,2
आह kheto me struggle😍,2
pet kharab ho gaya kya didi?,3
Lodu saala,3
Spinless 👌 Nafrati keede,3
Chal chutye,3
Mother chod reporter🤣🤣,3
Modi bhakt,2
Godi media,2
Teri maa Ka chut Mary mai,3
Godi media,2
Bikao kutta sala.. 2 kodi ka insaan.. Tujhe sataye hue ke baddua lagenge harami,3
Tujhe to sharm se dubb marna chahiye...agar Tu accha insaan hota na to tujhe comment section mai itni gaaliyan nhi padti.. Haram ka pilla sala,3
Chutiya spotted,3
Abe arnab ....madarchod Instagram bhi use krta h..iski behn ki choot kis randi ne tujhe paida kiya be??,3
Dalla kafi dino se gayab hai.,3
Chutiya,3
Gaandu,3
Saale dalle,3
Sir aap itna serious kyu he.? Aap jaroor PM banenge.. 😀,2
Saala Anti-national. Modiji ke faisile pe oppose kartha hai.,3
Gandu,3
Dalal,3
#dalal #bhadwa #boycottmodia,3
"Sala bhadwa, BJP ka kutta",3
क्यो पत्रकारिता को नीचा दिखाने पे तुले हो साहब,2
Ya maderchod hai sala🤣🤣🤣,3
Kaisa hai Bhosrike ?,3
Ky iske dost or ghar wale bhi ye coment padte hoge esa pesa kis kaam ka ye sala pura deen hindu muslim ko lada ne ka hi kaam karta he bus dala,3
Gandu,3
Nikal laude pehli fursat meh nikal,3
Desh bechne ka kitna milta hai ????,3
Iska channel ki title ye hona chahiye tha...hi. maihu.....bina dimag ki tattiwali arnav,3
दलाल मोदीका कुत्ता,3
Godi media,2
Chutiya sala,3
Purey gand ke shakal ka lagta hai tu balwe.,3
Ye tatti kis ne kr di upr💩💩💩💩,3
Modi Ka beta hai sala abey kutee koi b achayy tarike. Se baath nai Kara tereko Sab gali deyrahe hai tujhe bekav @arnab.r.goswami 😂😂😂,3
Abhi v tumari saravjeet wali news dekh kr gussa ata h . News wale ho na ki court ke jazz,2
Bjp का दल्ला,3
Chor Sala dalla,3
Iski shakl dekhte hi moot ne ka mood hota hai 😂😂,3
Patra ka beta he tu kuta,3
Arnab maachod,3
Tuje toh kutta bhi nahi bol sakta wo bhi wafadar hota hai tu toh desh gaddar hai sale madarchod,3
Saaale Dalle,3
Bhosdk Dalal bikau kutte chakke namard hijde......salle izzat krrle khud ki...sab Gali bkte h tujhe,3
Dallla . Ye apne aapko journalist smjta he😂😂😂😂😝😝😝 bc had hoti he chutiyepan ki . 😂😂😂😂🤣🤣 Bc tuje dekh kr to kutte b ab sochme pd jate he k bc hum kutte he ya ye 😝😝😝😂,3
Dalla,3
Badva sala😂,3
Dala,3
Madarchod,3
Lwdaa....,3
Sir kbhi tou news dhikso,2
Kaunsa maal peeke aata hain news pe 😂 godi media,2
